time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_turf_thread_time,air_equalize_cost,air_post_process_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_heat_spread_cost,air_pipenets_cost,air_rebuilds_cost,air_amt_gas_mixes,air_alloc_gas_mixes,air_hotspot_count,air_network_count,air_delta_count
162,1,0,0,0,0,0.401489,235,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
262,1,6,1.8,0.36,0.036,0.249815,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
362,1,18,6.66,1.62,0.1944,0.283378,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
462,1,2,5.262,2.3484,0.4098,0.258678,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
562,1,3,4.5834,2.7954,0.64836,0.273438,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
662,1,2,3.80838,2.998,0.883324,0.280237,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
762,1,0,2.66587,2.93157,1.08815,0.2777,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
862,1,0,1.86611,2.71848,1.25118,0.238225,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
962,1,0,1.30627,2.43604,1.36967,0.255989,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
1062,1,3,1.81439,2.31171,1.46387,0.217052,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
1162,1,11,4.57007,2.76338,1.59382,0.244253,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
1262,1,2,3.79905,2.97052,1.73149,0.341128,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
1362,1,5,4.15934,3.20828,1.87917,0.235746,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
1462,1,3,3.81154,3.32893,2.02415,0.304071,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
1562,1,2,3.26807,3.31676,2.15341,0.225621,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
1662,1,0,2.28765,3.11094,2.24916,0.216858,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
1762,1,5,3.10136,3.10902,2.33515,0.269297,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
1862,1,5,3.67095,3.22141,2.42377,0.289123,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
1962,1,0,2.56966,3.09106,2.4905,0.296198,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
2062,1,8,4.19877,3.3126,2.57271,0.29376,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
2162,1,7,5.03914,3.65791,2.68123,0.241349,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
2262,1,2,4.1274,3.75181,2.78829,0.203711,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
2362,1,5,4.38918,3.87928,2.89739,0.246075,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
2462,1,2,3.67242,3.83791,2.99144,0.229731,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
2562,1,8,4.9707,4.06447,3.09874,0.258904,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
2662,1,16,8.27949,4.90747,3.27961,0.335703,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
2762,1,4,6.99564,5.3251,3.48416,0.245288,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
2862,1,8,7.29695,5.71947,3.70769,0.220075,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
2962,1,4,6.30786,5.83715,3.92064,0.264126,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
3063,1,7.92079,6.79174,6.02807,4.13138,0.222058,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
3163,1,5,6.25422,6.0733,4.32557,0.246943,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
3263,1,7,6.47795,6.15423,4.50844,0.233631,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
3363,1,7,6.63457,6.2503,4.68263,0.230056,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
3463,1,10,7.6442,6.52908,4.86727,0.264088,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
3563,1,7,7.45094,6.71345,5.05189,0.2787,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
3663,1,5,6.71566,6.71389,5.21809,0.247763,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
3763,1,3,5.60096,6.49131,5.34541,0.218213,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
3863,1,5,5.42067,6.27718,5.43859,0.245997,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
3963,1,0,3.79447,5.78064,5.47279,0.220733,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
4063,1,2,3.25613,5.27574,5.45309,0.225847,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
4163,1,9,4.97929,5.21645,5.42942,0.284198,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
4263,1,0,3.4855,4.87026,5.37351,0.203211,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
4363,1,18,7.83985,5.46418,5.38257,0.376848,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
4463,1,12,9.0879,6.18892,5.46321,0.244274,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
4563,1,5,7.86153,6.52344,5.56923,0.250448,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
4663,1,7,7.60307,6.73937,5.68624,0.230037,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
4763,1,7,7.42215,6.87592,5.80521,0.284274,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
4863,1,10,8.1955,7.13984,5.93867,0.307199,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
4963,1,18,11.1369,7.93924,6.13873,0.246462,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
5063,1,7,9.8958,8.33055,6.35791,0.278387,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
5163,1,5,8.42706,8.34986,6.55711,0.256186,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
5263,1,3,6.79894,8.03967,6.70536,0.274424,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
5363,1,5,6.25926,7.68359,6.80319,0.237175,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
5463,1,0,4.38148,7.02317,6.82518,0.244638,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
5563,1,5,4.56704,6.53194,6.79586,0.273239,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
5663,1,2,3.79693,5.98494,6.71477,0.254189,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
5763,1,11,5.95785,5.97952,6.64124,0.208227,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
5863,1,7,6.27049,6.03772,6.58089,0.231189,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
5963,1,0,4.38935,5.70804,6.49361,0.235089,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
6063,1,0,3.07254,5.18094,6.36234,0.314327,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
6163,1,19,7.85078,5.71491,6.2976,0.213152,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
6263,1,17,10.5955,6.69104,6.33694,0.282802,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
6363,1,8,9.81688,7.31621,6.43487,0.235027,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
6463,1,2,7.47182,7.34733,6.52611,0.217714,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
6563,1,7,7.33027,7.34392,6.60789,0.34583,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
6663,1,0,5.13119,6.90137,6.63724,0.280693,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
6763,1,5,5.09183,6.53946,6.62746,0.253092,0,0,,0,0,0,0,0,0,0,0,101551,102654,0,171,0
