time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_turf_thread_time,air_equalize_cost,air_post_process_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_heat_spread_cost,air_pipenets_cost,air_rebuilds_cost,air_amt_gas_mixes,air_alloc_gas_mixes,air_hotspot_count,air_network_count,air_delta_count
294.5,3,0,0,0,0,0.564178,148,0,,0,0,0,0,0,0,0,0,103607,104555,0,235,0
394.5,3,1,0.3,0.06,0.006,0.490958,0,0,,0,0,0,0,0,0,0,0,103607,104555,0,235,0
494.5,3,0,0.21,0.09,0.0144,0.502759,0,0,,0,0,0,0,0,0,0,0,103607,104555,0,235,0
594.5,3,0,0.147,0.1014,0.0231,0.426567,0,0,,0,0,0,0,0,0,0,0,103607,104555,0,235,0
695,3,0.497512,0.252154,0.131551,0.0339451,0.518442,0,0,,0,0,0,0,0,0,0,0,103607,104555,0,235,0
795,3,0,0.176508,0.140542,0.0446048,0.527491,0,0,,0,0,0,0,0,0,0,0,103607,104555,0,235,0
895,3,1,0.423555,0.197145,0.0598588,0.461627,0,0,,0,0,0,0,0,0,0,0,103607,104555,0,235,0
995,3,0,0.296489,0.217014,0.0755743,0.513039,0,0,,0,0,0,0,0,0,0,0,103607,104555,0,235,0
1122,3,22.0472,6.82172,1.53795,0.221812,1.29983,13,18.967,,0,9.98865,7.59817,0.53955,0.00361426,0,11.3634,0.00638685,103643,104555,0,269,0
1222,3,1,5.0752,2.2454,0.424171,1.70956,3,23.7953,,0,3.8104,0.416485,0.225609,0.00410886,0,5.66523,0.00199279,103643,104555,0,269,0
1322,3,4,4.75264,2.74685,0.656439,1.58788,3,16.9796,,0,6.30096,3.60791,0.186395,0.0038705,0,3.65374,0.001768,103643,104555,0,269,0
1422,3,0,3.32685,2.86285,0.87708,1.38654,3,16.3004,,0,6.71002,7.29448,0.125263,0.00341924,0,2.91603,0.00175147,103643,104555,0,269,0
1522,2,1,2.62879,2.81604,1.07098,1.36586,3,19.7782,,0,6.33241,1.66408,0.132827,0.00400093,0,3.00914,0.00217504,103643,104555,0,269,0
1622,2,1,2.14016,2.68086,1.23196,1.57244,1,14.5663,,0,1.85494,4.65704,0.100586,0.00355682,0,3.18072,0.00167708,103643,104555,0,269,0
1722,2,9,4.19811,2.98431,1.4072,1.62577,1,22.2819,,0,3.29124,3.99557,0.0923553,0.00472914,0,3.30292,0.00195056,103643,104555,0,269,0
1822,2,7,5.03868,3.39518,1.606,1.61234,3,18.0185,,0,6.52748,7.6563,0.133668,0.00399812,0,3.20627,0.00204884,103643,104555,0,269,0
1922,2,0,3.52707,3.42156,1.78755,2.24236,2,16.8977,,0,5.78498,3.72289,0.104603,0.00379757,0,3.33827,0.00193285,103643,104555,0,269,0
2022,1,180,56.469,14.031,3.0119,0.938125,1,25.7461,,0,2.977,2.72302,0.0971795,0.00403555,0,2.78746,0.00189355,103643,104555,0,269,0
2122,1,2,40.1283,19.2505,4.63576,1.00857,2,21.084,,0,8.99301,3.24267,0.18859,0.00424962,0,2.52817,0.00205898,103643,104555,0,269,0
2222,2,8,30.4898,21.4983,6.32202,1.70301,1,17.4709,,0,1.98269,3.46119,0.0820976,0.00327769,0,2.79727,0.00179383,103643,104555,0,269,0
2322,2,3,22.2428,21.6472,7.85454,1.84408,0,17.09,,0,5.31781,1.94196,0.0913687,0.00476023,0,2.9739,0.00179828,103643,104555,0,269,0
2422,2,9,18.27,20.9718,9.16627,1.65497,1,21.8246,,0,7.91963,2.00835,0.150618,0.00463117,0,3.04587,0.0019159,103643,104555,0,269,0
2522,2,1,13.089,19.3952,10.1892,1.70767,1,20.0038,,0,8.39236,0.0815742,0.143504,0.00467887,0,3.538,0.0028866,103643,104555,0,269,0
2622,0,288,95.5623,34.6287,12.6331,0.0321989,1,23.1766,,0,4.85518,4.62809,0.131364,0.00469775,0,3.00184,0.00192593,103643,104555,0,269,0
2722,1,0,66.8936,41.0816,15.478,0.834978,0,17.8428,,0,10.0116,2.18931,0.0966761,0.00392362,0,2.67716,0.0020377,103643,104555,0,269,0
2822,2,1,47.1255,42.2904,18.1592,1.47833,1,15.8107,,0,9.64677,1.71939,0.0819952,0.00383749,0,3.30261,0.0021195,103643,104555,0,269,0
2922,2,0,32.9879,40.4299,20.3863,1.57155,1,18.5918,,0,4.0523,3.74813,0.0973662,0.0037359,0,3.3435,0.00176675,103643,104555,0,269,0
3022,2,1,23.3915,37.0222,22.0499,1.89646,1,22.3675,,0,8.03678,1.15238,0.12202,0.00404452,0,3.08605,0.00183239,103643,104555,0,269,0
3122,2,0,16.3741,32.8926,23.1341,1.94865,2,16.0183,,0,10.093,0.0106288,0.159185,0.00483841,0,3.02145,0.00167882,103643,104555,0,269,0
3222,2,0,11.4618,28.6064,23.6814,1.74418,0,16.0944,,0,13.9312,0.343695,0.112994,0.00406994,0,3.68352,0.0019724,103643,104555,0,269,0
3322,2,0,8.02328,24.4898,23.7622,1.41651,0,23.3067,,0,8.88779,1.40675,0.0828775,0.00358953,0,3.16787,0.00197219,103643,104555,0,269,0
3422,2,1,5.9163,20.7751,23.4635,1.43337,1,18.9486,,0,8.12656,0.287853,0.107518,0.00348678,0,3.05061,0.00169945,103643,104555,0,269,0
3522,2,0,4.14141,17.4484,22.862,1.60175,1,21.6029,,0,8.64623,0.0494356,0.12452,0.00358356,0,2.78724,0.00189671,103643,104555,0,269,0
3622,2,0,2.89899,14.5385,22.0296,1.60655,1,25.2166,,0,4.44548,1.19438,0.101412,0.00403729,0,3.51601,0.00189869,103643,104555,0,269,0
3722,3,4,3.22929,12.2767,21.0543,1.65127,2,17.27,,0,4.45955,0.265609,0.109715,0.003489,0,2.9675,0.00183155,103643,104555,0,269,0
3822,3,0,2.2605,10.2734,19.9762,1.55917,0,17.5016,,0,12.8561,0.160183,0.15402,0.00368346,0,3.01964,0.00201385,103643,104555,0,269,0
3922,3,1,1.88235,8.59521,18.8381,1.47609,1,23.7295,,0,6.38541,0.840338,0.105343,0.00321157,0,2.72417,0.00201617,103643,104555,0,269,0
4022,3,11,4.61765,7.7997,17.7343,2.00056,0,15.188,,0,3.43636,2.73162,0.0877517,0.00347483,0,3.12338,0.00194959,103643,104555,0,269,0
4122,3,0,3.23235,6.88623,16.6495,2.03551,1,14.9182,,0,7.63258,2.18326,0.112041,0.00341083,0,2.72083,0.00172304,103643,104555,0,269,0
4222,3,8,4.66265,6.44151,15.6287,2.39393,2,22.1721,,0,4.40154,1.83446,0.127084,0.00364201,0,2.95675,0.0017411,103643,104555,0,269,0
4322,3,0,3.26385,5.80598,14.6464,1.91598,1,16.5463,,0,12.237,0.155983,0.114344,0.0040034,0,3.01319,0.00183616,103643,104555,0,269,0
4422,3,1,2.5847,5.16172,13.698,2.04131,0,17.3314,,0,12.3,4.26008,0.0851378,0.00382203,0,3.13193,0.00184393,103643,104555,0,269,0
4522,3,0,1.80929,4.49124,12.7773,1.74359,0,18.1766,,0,11.3046,0.259195,0.108141,0.00529606,0,2.53825,0.00165372,103643,104555,0,269,0
4622,3,0,1.2665,3.84629,11.8842,1.61246,0,19.8426,,0,9.93882,0.788823,0.0818656,0.00374066,0,2.80503,0.00165884,103643,104555,0,269,0
4722,3,0,0.886551,3.25434,11.0212,1.81257,2,20.6781,,0,8.89704,1.58794,0.163368,0.0041011,0,3.02392,0.00170578,103643,104555,0,269,0
4822,3,1,0.920586,2.78759,10.1978,1.64064,1,18.0574,,0,1.73197,5.6399,0.102559,0.00318274,0,2.73109,0.00204346,103643,104555,0,269,0
4922,3,2,1.24441,2.47895,9.42595,2.19676,1,15.9094,,0,14.0369,0.0650236,0.0978371,0.00374855,0,2.86379,0.00208557,103643,104555,0,269,0
5022,3,0,0.871087,2.15738,8.69909,1.65675,1,14.5074,,0,15.4397,0.000599737,0.109331,0.00337395,0,2.81436,0.00172063,103643,104555,0,269,0
5122,3,0,0.609761,1.84786,8.01397,1.79501,0,15.4593,,0,6.29985,6.9145e-006,0.0922392,0.0039687,0,2.80963,0.00192871,103643,104555,0,269,0
5222,3,0,0.426833,1.56365,7.36894,2.18014,1,17.3103,,0,4.68693,2.13608,0.112614,0.00398458,0,3.13252,0.00188795,103643,104555,0,269,0
5322,3,1,0.598783,1.37068,6.76911,1.81002,2,15.7734,,0,9.6957,2.54072,0.127906,0.0039458,0,2.86338,0.0015164,103643,104555,0,269,0
5422,3,0,0.419148,1.18037,6.21024,2.29548,1,19.5754,,0,9.5769,0.857608,0.0960709,0.00333165,0,2.68271,0.00204448,103643,104555,0,269,0
5522,3,0,0.293404,1.00298,5.68951,1.58268,1,14.4772,,0,0.153649,4.29368,0.10747,0.00348801,0,2.79404,0.0018926,103643,104555,0,269,0
5622,3,0,0.205382,0.843459,5.2049,1.99478,0,14.4996,,0,3.36049,5.01479,0.090145,0.00342731,0,2.96929,0.00187841,103643,104555,0,269,0
5722,3,0,0.143768,0.703521,4.75477,1.68444,0,14.5324,,0,1.40351,5.62015,0.0760004,0.00315786,0,3.2429,0.00170108,103643,104555,0,269,0
5822,2,1,0.400637,0.642944,4.34358,1.8162,0,24.6917,,0,2.64635,1.50944,0.093465,0.00334141,0,2.76432,0.0017882,103643,104555,0,269,0
5922,2,0,0.280446,0.570445,3.96627,1.53118,1,25.7614,,0,1.5359,4.07285,0.110958,0.0036068,0,2.69197,0.00191075,103643,104555,0,269,0
6022,2,1,0.496312,0.555618,3.6252,1.60111,2,23.5364,,0,2.2328,0.676103,0.124788,0.00352027,0,3.13168,0.00191526,103643,104555,0,269,0
6122,2,0,0.347419,0.513978,3.31408,1.72899,0,19.8062,,0,0.654888,2.84976,0.101554,0.00370608,0,3.00031,0.00191792,103643,104555,0,269,0
6222,2,0,0.243193,0.459821,3.02866,2.05544,0,22.7423,,0,6.9077,0.458004,0.0911964,0.00412468,0,2.85299,0.00184686,103643,104555,0,269,0
6322,2,0,0.170235,0.401904,2.76598,1.58799,2,21.0376,,0,9.17793,1.37408,0.103549,0.0039616,0,3.08521,0.00188168,103643,104555,0,269,0
6422,2,0,0.119165,0.345356,2.52392,1.57875,0,20.8113,,0,9.27926,0.0158421,0.0824324,0.00362566,0,2.87672,0.00210805,103644,104555,0,269,0
6522,2,0,0.0834152,0.292968,2.30082,1.74723,1,23.7519,,0,6.61327,0.140884,0.110335,0.00354015,0,2.94618,0.00183082,103644,104555,0,269,0
6622,2,0,0.0583906,0.246052,2.09535,1.67139,1,17.1186,,0,12.9769,1.65536,0.110991,0.00377495,0,3.02232,0.00196764,103643,104555,0,269,0
6722,2,0,0.0408735,0.205017,1.90631,1.58415,0,20.4817,,0,9.73897,0.019085,0.0891817,0.00367933,0,3.31413,0.00223284,103643,104555,0,269,0
6822,2,0,0.0286114,0.169736,1.73266,1.83543,1,21.1655,,0,8.92515,2.59703,0.130405,0.00510201,0,3.07766,0.0017626,103643,104555,0,269,0
6922,2,0,0.020028,0.139794,1.57337,2.17015,0,23.0202,,0,7.34492,0.862814,0.0861332,0.004893,0,2.84299,0.00170447,103643,104555,0,269,0
7022,2,0,0.0140196,0.114639,1.4275,2.01189,1,24.6652,,0,5.01461,2.56796,0.118819,0.00380448,0,3.17865,0.00193313,103643,104555,0,269,0
7122,2,0,0.00981372,0.0936741,1.29411,1.87686,1,21.4653,,0,5.90012,2.7707,0.117231,0.0034503,0,2.79913,0.00196914,103643,104555,0,269,0
7222,2,0,0.0068696,0.0763132,1.17233,1.70407,1,24.6889,,0,3.57676,0.9206,0.0930829,0.00329189,0,3.00548,0.00217071,103643,104555,0,269,0
7322,2,1,0.304809,0.122012,1.0673,1.95368,1,18.4995,,0,10.1444,0.237602,0.129611,0.00329731,0,4.85939,0.00214698,103643,104555,0,269,0
7422,2,0,0.213366,0.140283,0.9746,1.97508,0,18.9395,,0,9.92143,0.0598376,0.0904762,0.00370208,0,5.71503,0.00188492,103643,104555,0,269,0
7522,2,0,0.149356,0.142098,0.891349,2.1478,0,20.9547,,0,9.1846,3.60902,0.0812531,0.00375515,0,6.02112,0.00219314,103643,104555,0,269,0
7622,2,0,0.104549,0.134588,0.815673,1.79126,2,19.6492,,0,10.6773,0.0416092,0.139571,0.00340291,0,2.96833,0.00190088,103643,104555,0,269,0
7722,2,1,0.373185,0.182307,0.752337,1.78552,1,14.7075,,0,2.41305,8.10264,0.114227,0.00394614,0,3.01458,0.00187323,103643,104555,0,269,0
7822,2,0,0.261229,0.198092,0.696912,2.07528,1,14.5221,,0,1.0764,9.253,0.112971,0.00441518,0,2.80295,0.00178638,103643,104555,0,269,0
7922,2,0,0.18286,0.195045,0.646725,2.10409,0,14.3407,,0,0.102482,7.68238,0.102241,0.00355037,0,3.36031,0.00176167,103643,104555,0,269,0
