time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_turf_thread_time,air_equalize_cost,air_post_process_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_heat_spread_cost,air_pipenets_cost,air_rebuilds_cost,air_amt_gas_mixes,air_alloc_gas_mixes,air_hotspot_count,air_network_count,air_delta_count
159,1,0,0,0,0,0.362762,149,0,,0,0,0,0,0,0,0,0,101599,102654,0,191,0
259,1,2,0.6,0.12,0.012,0.23629,0,0,,0,0,0,0,0,0,0,0,101599,102654,0,191,0
359,1,0,0.42,0.18,0.0288,0.227951,0,0,,0,0,0,0,0,0,0,0,101599,102654,0,191,0
459,1,0,0.294,0.2028,0.0462,0.208277,0,0,,0,0,0,0,0,0,0,0,101599,102654,0,191,0
559,1,0,0.2058,0.2034,0.06192,0.23409,0,0,,0,0,0,0,0,0,0,0,101599,102654,0,191,0
659,1,0,0.14406,0.191532,0.0748812,0.224578,0,0,,0,0,0,0,0,0,0,0,101599,102654,0,191,0
759,1,0,0.100842,0.173394,0.0847325,0.215116,0,0,,0,0,0,0,0,0,0,0,101599,102654,0,191,0
859,1,3,0.970589,0.332833,0.109543,0.249103,0,0,,0,0,0,0,0,0,0,0,101599,102654,0,191,0
959,1,6,2.47941,0.762149,0.174803,0.310391,0,0,,0,0,0,0,0,0,0,0,101599,102654,0,191,0
1059,1,2,2.33559,1.07684,0.265007,0.266366,0,0,,0,0,0,0,0,0,0,0,101599,102654,0,191,0
