time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_turf_thread_time,air_equalize_cost,air_post_process_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_heat_spread_cost,air_pipenets_cost,air_rebuilds_cost,air_amt_gas_mixes,air_alloc_gas_mixes,air_hotspot_count,air_network_count,air_delta_count
272.5,1,0,0,0,0,0.378082,203,0,,0,0,0,0,0,0,0,0,103129,104555,0,199,0
372.5,1,1,0.3,0.06,0.006,0.338376,0,0,,0,0,0,0,0,0,0,0,103129,104555,0,199,0
472.5,1,0,0.21,0.09,0.0144,0.324513,0,0,,0,0,0,0,0,0,0,0,103129,104555,0,199,0
572.5,1,0,0.147,0.1014,0.0231,0.404638,0,0,,0,0,0,0,0,0,0,0,103129,104555,0,199,0
672.5,1,0,0.1029,0.1017,0.03096,0.254838,0,0,,0,0,0,0,0,0,0,0,103129,104555,0,199,0
772.5,1,2,0.67203,0.215766,0.0494406,0.298437,0,0,,0,0,0,0,0,0,0,0,103129,104555,0,199,0
873,1,15.4229,5.09729,1.19207,0.163704,1.03877,1,11.8678,,0,1.14688,7.26958,0.393685,0.00336979,0,1.9102,0.0393641,103160,104555,0,229,0
973,1,3,4.4681,1.84728,0.332061,1.10223,1,16.2687,,0,9.01816,1.81405,0.0129109,0.00338549,0,2.95699,0.00238351,103160,104555,0,229,0
1073,1,1,3.42767,2.16336,0.51519,1.17204,1,14.2708,,0,10.1711,0.494216,0.00367483,0.00408735,0,2.55767,0.00175689,103166,104555,0,229,0
1173,1,0,2.39937,2.21056,0.684727,1.13859,0,16.6289,,0,13.1294,2.64357,0.00335669,0.00380988,0,3.25256,0.00172138,103166,104555,0,229,0
1273,1,0,1.67956,2.10436,0.82669,1.06467,1,17.8997,,0,12.3539,1.94438,0.00328532,0.00361885,0,2.58639,0.00169417,103166,104555,0,229,0
1373,1,0,1.17569,1.91862,0.935884,1.11057,1,16.0562,,0,14.1774,0.340056,0.00426558,0.00392628,0,2.91324,0.00169924,103166,104555,0,229,0
1473,1,0,0.822984,1.6995,1.01224,1.12008,1,21.1724,,0,9.10611,0.521339,0.00359963,0.00393807,0,2.95966,0.0016378,103166,104555,0,229,0
1573,1,0,0.576089,1.47481,1.0585,1.17382,0,26.9789,,0,3.26604,0.798453,0.00359579,0.00432628,0,2.869,0.0013678,103166,104555,0,229,0
1673,1,0,0.403262,1.2605,1.0787,1.15856,0,28.4494,,0,1.811,5.00566,0.00320509,0.0034684,0,2.59164,0.00229989,103166,104555,0,229,0
1773,1,0,0.282283,1.06486,1.07732,1.32562,0,23.8881,,0,7.22669,0.0577113,0.00378979,0.00419235,0,2.85663,0.00177574,103166,104555,0,229,0
1873,1,1,0.497598,0.951408,1.06473,1.01553,0,17.817,,0,7.88787,0.487245,0.00381852,0.00429538,0,3.11005,0.0016876,103166,104555,0,229,0
1973,1,0,0.348319,0.83079,1.04133,0.939306,0,17.4772,,0,7.93561,0.0956896,0.00418371,0.00394308,0,3.00392,0.00166733,103166,104555,0,229,0
2073,1,0,0.243823,0.713397,1.00854,1.16333,0,21.5505,,0,8.90988,1.92088,0.00416526,0.00479352,0,2.95125,0.00156877,103166,104555,0,229,0
2173,1,0,0.170676,0.604853,0.968171,0.866623,0,20.2575,,0,5.45234,0.017717,0.00389989,0.00433462,0,2.69559,0.00182901,103166,104555,0,229,0
2273,1,0,0.119473,0.507777,0.922131,1.01366,0,24.0336,,0,10.3253,0.410528,0.0031501,0.00330579,0,2.43225,0.0017978,103166,104555,0,229,0
2373,1,0,0.0836314,0.422948,0.872213,1.28379,0,15.9186,,0,8.6485,0.0441387,0.00432782,0.00498967,0,2.79889,0.00146849,103166,104555,0,229,0
2473,1,0,0.0585419,0.350067,0.819998,1.24438,0,16.5895,,0,9.72311,0.321074,0.00348274,0.00463395,0,2.64162,0.00177109,103166,104555,0,229,0
2573,1,0,0.0409794,0.288249,0.766823,1.00088,0,18.9564,,0,9.39458,0.00370173,0.00327073,0.0035436,0,2.79418,0.00158321,103166,104555,0,229,0
2673,1,0,0.0286856,0.236336,0.713775,1.12362,0,15.9606,,0,11.514,0.62918,0.0033939,0.00380591,0,2.89554,0.00163995,103166,104555,0,229,0
2773,1,0,0.0200799,0.193085,0.661706,1.20243,0,15.8831,,0,15.3772,0.00725395,0.00346203,0.00418353,0,2.58245,0.00199322,103166,104555,0,229,0
2873,1,2,0.614056,0.277279,0.623263,1.23588,9,23.1706,,0,1.00375,2.72343,0.0040233,0.00568448,0,2.98359,0.00153582,103166,104555,0,229,0
2973,1,0,0.429839,0.307791,0.591716,1.27688,0,20.8215,,0,0.0115724,3.99024,0.00327035,0.00351345,0,3.16455,0.00162676,103166,104555,0,229,0
3073,1,0,0.300887,0.30641,0.563185,1.03881,0,22.8105,,0,0.983173,6.84689,0.00342735,0.00383284,0,3.14325,0.00170702,103166,104555,0,229,0
3173,1,0,0.210621,0.287253,0.535592,1.19845,0,24.657,,0,0.13613,2.38904,0.00344434,0.00422883,0,2.69474,0.00164143,103166,104555,0,229,0
3273,1,0,0.147435,0.259289,0.507962,1.02059,0,23.9676,,0,1.3953,2.65642,0.00325088,0.00348424,0,2.57251,0.00170507,103166,104555,0,229,0
3373,1,0,0.103204,0.228072,0.479973,1.04085,0,23.9978,,0,0.106159,3.61301,0.00316947,0.00353341,0,2.56024,0.00172094,103166,104555,0,229,0
3473,1,0,0.0722431,0.196906,0.451666,1.09551,0,22.343,,0,5.39516,2.87111,0.00345323,0.00374657,0,3.08751,0.00187166,103166,104555,0,229,0
3573,1,0,0.0505701,0.167639,0.423263,1.13409,0,28.7428,,0,0.464855,6.00116,0.00291742,0.00327861,0,2.81902,0.00152966,103166,104555,0,229,0
3673,1,0,0.0353991,0.141191,0.395056,1.09746,0,25.2092,,0,1.01294,1.83418,0.00320603,0.00363408,0,2.82126,0.00152622,103166,104555,0,229,0
3773,1,0,0.0247794,0.117909,0.367341,1.44475,0,24.5127,,0,0.112559,3.13251,0.00364459,0.00438998,0,2.80017,0.00155509,103166,104555,0,229,0
3873,1,0,0.0173456,0.0977961,0.340387,1.69896,0,18.04,,0,3.78994,5.12591,0.00328395,0.00364549,0,2.76358,0.00158884,103166,104555,0,229,0
3973,1,0,0.0121419,0.0806653,0.314415,1.36823,1,12.7415,,0,3.99529,1.47972,0.00334005,0.00383208,0,2.97193,0.00170826,103166,104555,0,229,0
4073,1,0,0.00849932,0.0662321,0.289596,1.25613,0,17.8826,,0,0.447306,1.74659,0.00337187,0.00703709,0,2.93686,0.001487,103166,104555,0,229,0
4173,1,0,0.00594953,0.0541756,0.266054,1.14862,0,18.4152,,0,0.0483917,4.58116,0.00402957,0.0038061,0,2.91159,0.00173407,103166,104555,0,229,0
4273,1,2,0.604165,0.164173,0.255866,1.24218,0,14.5197,,0,6.71013,0.142889,0.00359793,0.00387922,0,3.18729,0.00191034,103166,104555,0,229,0
4373,1,0,0.422915,0.215922,0.251872,1.30126,0,14.6054,,0,12.2381,1.23554,0.00348717,0.00376049,0,2.85865,0.00160514,103166,104555,0,229,0
4473,1,1,0.596041,0.291946,0.255879,1.41673,0,19.7465,,0,2.01026,2.21848,0.00315104,0.00339433,0,2.90868,0.00154987,103166,104555,0,229,0
4573,1,0,0.417228,0.317002,0.261991,1.40866,0,24.4041,,0,2.57449,3.7664,0.00344671,0.00371162,0,2.87126,0.00214608,103166,104555,0,229,0
4673,1,0,0.29206,0.312014,0.266994,0.988031,0,15.5426,,0,1.29661,4.97558,0.00319287,0.00393515,0,2.86762,0.00146099,103166,104555,0,229,0
