time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_turf_thread_time,air_equalize_cost,air_post_process_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_heat_spread_cost,air_pipenets_cost,air_rebuilds_cost,air_amt_gas_mixes,air_alloc_gas_mixes,air_hotspot_count,air_network_count,air_delta_count
309.5,0,0,0,0,0,2.52802,168,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
421.5,1,180.357,54.1071,10.8214,1.08214,0.32753,149,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
526.5,1,22.8571,44.7321,17.6036,2.73429,0.266664,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
627,1,0,31.3125,20.3454,4.49539,0.274026,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
727,1,0,21.9188,20.66,6.11186,0.322839,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
827,1,0,15.3431,19.5967,7.46034,0.320714,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
927,1,0,10.7402,17.8254,8.49684,0.287114,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
1027,1,0,7.51813,15.7639,9.22355,0.301503,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
1127,1,0,5.26269,13.6637,9.66756,0.279965,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
1227,1,0,3.68388,11.6677,9.86758,0.296378,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
1327,1,0,2.57872,9.84992,9.86581,0.288066,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
1427,1,0,1.8051,8.24095,9.70332,0.307205,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
1527,1,0,1.26357,6.84548,9.41754,0.278816,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
1627,1,0,0.884501,5.65328,9.04111,0.29113,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
1727,1,0,0.61915,4.64646,8.60165,0.299778,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
1827,1,0,0.433405,3.80385,8.12187,0.295278,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
1927,1,0,0.303384,3.10375,7.62005,0.293103,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
2027,1,0,0.212369,2.52548,7.1106,0.322916,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
2127,1,0,0.148658,2.05011,6.60455,0.331279,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
2227,1,0,0.104061,1.6609,6.11018,0.299754,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
2327,1,43,12.9728,3.92329,5.89149,0.298815,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
2427,1,9,11.781,5.49483,5.85183,0.285465,0,0,,0,0,0,0,0,0,0,0,106591,108357,0,242,0
2535.5,1,93.5484,36.3112,11.6581,6.43246,0.833054,0,0,,0,368.8,0,0,0,0,0,16.1404,106625,108357,0,276,0
2636,1,16.4179,30.3432,15.3951,7.32872,0.892609,29,33.251,,0,42.2767,2.56,1.00055,0.00455376,0,3.46295,1.73468,106625,108357,0,276,0
2736,1,10,24.2403,17.1642,8.31227,0.762283,27,28.5777,,0,6.29531,4.55065,0.632936,0.0039333,0,3.47301,0.0221277,106631,108357,0,276,0
