time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_turf_thread_time,air_equalize_cost,air_post_process_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_heat_spread_cost,air_pipenets_cost,air_rebuilds_cost,air_amt_gas_mixes,air_alloc_gas_mixes,air_hotspot_count,air_network_count,air_delta_count
305.5,1,0,0,0,0,0.4151,284,0,,0,0,0,0,0,0,0,0,102823,104555,0,202,0
405.5,1,10,3,0.6,0.06,0.270998,0,0,,0,0,0,0,0,0,0,0,102823,104555,0,202,0
505.5,1,0,2.1,0.9,0.144,0.308612,0,0,,0,0,0,0,0,0,0,0,102823,104555,0,202,0
605.5,1,0,1.47,1.014,0.231,0.299713,0,0,,0,0,0,0,0,0,0,0,102823,104555,0,202,0
705.5,1,0,1.029,1.017,0.3096,0.3287,0,0,,0,0,0,0,0,0,0,0,102823,104555,0,202,0
805.5,1,2,1.3203,1.07766,0.386406,0.28636,0,0,,0,0,0,0,0,0,0,0,102823,104555,0,202,0
905.5,1,0,0.92421,1.04697,0.452462,0.302048,0,0,,0,0,0,0,0,0,0,0,102823,104555,0,202,0
1005.5,1,0,0.646947,0.966965,0.503913,0.312711,2,0,,0,0,0,0,0,0,0,0,102823,104555,0,202,0
1105.5,1,6,2.25286,1.22414,0.575936,0.334015,1,27.3433,,0,4.1283,3.73959,0.119948,0.00365734,0,21.2512,0.00876352,102855,104555,0,234,0
1205.5,1,0,1.577,1.29472,0.647814,0.305494,1,20.3069,,0,8.42691,1.46785,0.00459241,0.00386524,0,5.4125,0.00175652,102855,104555,0,234,0
1305.5,1,1,1.4039,1.31655,0.714688,0.288389,1,20.3687,,0,3.99913,2.37879,0.00332981,0.00387653,0,5.39139,0.00173108,102855,104555,0,234,0
1405.5,1,0,0.982732,1.24979,0.768198,0.298927,0,23.6075,,0,4.2084,0.304415,0.00302266,0.00361027,0,2.7002,0.00160758,102855,104555,0,234,0
1505.5,1,0,0.687912,1.13741,0.80512,0.305576,0,19.1665,,0,9.87413,0.00179695,0.00308443,0.00362389,0,3.17195,0.00182815,102855,104555,0,234,0
1605.5,1,0,0.481539,1.00624,0.825231,0.294662,0,29.9681,,0,1.63184,1.04859,0.00335749,0.00392734,0,3.19323,0.00180472,102855,104555,0,234,0
1705.5,1,21,6.63708,2.13241,0.955949,0.302374,0,30.7412,,0,1.9233,2.55086,0.00357569,0.00437778,0,2.78601,0.0019151,102855,104555,0,234,0
1805.5,1,2,5.24595,2.75512,1.13587,0.958511,0,22.6863,,0,8.69892,0.857476,0.00347112,0.00402011,0,3.5419,0.00183458,102855,104555,0,234,0
1905.5,1,1,3.97217,2.99853,1.32213,0.527014,1,19.3337,,0,11.0904,0.349925,0.00328366,0.00384785,0,3.17303,0.00197383,102855,104555,0,234,0
2005.5,1,0,2.78052,2.95492,1.48541,0.544437,1,20.8229,,0,9.23192,0.978147,0.00338693,0.00448273,0,2.86503,0.00206074,102855,104555,0,234,0
2105.5,1,0,1.94636,2.75321,1.61219,0.552046,1,19.8727,,0,10.3475,1.54502,0.00328219,0.00389892,0,3.11501,0.00185782,102855,104555,0,234,0
2205.5,1,0,1.36245,2.47506,1.69848,0.653507,0,22.4261,,0,7.66449,0.0178129,0.00329747,0.00391044,0,3.36291,0.00171688,102855,104555,0,234,0
2305.5,1,0,0.953717,2.17079,1.74571,0.734114,0,29.621,,0,0.651654,0.000205369,0.0037471,0.00428479,0,3.25338,0.00174199,102855,104555,0,234,0
2405.5,1,0,0.667602,1.87015,1.75815,0.775576,0,30.1119,,0,0.139454,1.26848,0.00356295,0.00413309,0,3.03287,0.00167767,102855,104555,0,234,0
