time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_turf_thread_time,air_equalize_cost,air_post_process_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_heat_spread_cost,air_pipenets_cost,air_rebuilds_cost,air_amt_gas_mixes,air_alloc_gas_mixes,air_hotspot_count,air_network_count,air_delta_count
317,0,0,0,0,0,0.0823364,181,0,,0,0,0,0,0,0,0,0,106198,106456,0,211,0
416.5,1,17.5879,5.27638,1.05528,0.105528,0.26835,0,0,,0,0,0,0,0,0,0,0,106198,106456,0,211,0
516.5,1,22,10.2935,2.90292,0.385266,0.297473,0,0,,0,0,0,0,0,0,0,0,106198,106456,0,211,0
616.5,1,2,7.80543,3.88342,0.735081,0.873212,0,0,,0,0,0,0,0,0,0,0,106198,106456,0,211,0
721,1,30.1435,14.5069,6.00811,1.26238,0.945808,14,18.4418,,0,5.719,4.33914,0.72633,0.0030745,0,2.76901,0.0225933,106230,106456,0,243,0
821,1,11,13.4548,7.49745,1.88589,0.961304,4,15.8965,,0,5.21876,0.52892,0.37323,0.00486326,0,3.15739,0.00201387,106236,106456,0,243,0
921,1,0,9.41836,7.88163,2.48546,0.948627,2,23.9031,,0,4.20774,1.52069,0.160261,0.00395851,0,3.26122,0.00167188,106236,106456,0,243,0
1021,1,0,6.59285,7.62387,2.99931,0.905191,1,17.3078,,0,8.04003,1.11788,0.136446,0.00395628,0,3.13957,0.00153282,106236,106456,0,243,0
1121,1,3,5.515,7.2021,3.41958,0.499281,0,16.9856,,0,5.34338,0.0983205,0.157827,0.00435801,0,3.12746,0.00172532,106236,106456,0,243,0
1221,1,4,5.0605,6.77378,3.755,0.57234,1,17.8233,,0,10.1165,0.316693,0.150064,0.00404741,0,3.42493,0.00171732,106236,106456,0,243,0
1321,1,38,14.9423,8.40749,4.22025,0.525791,1,17.0885,,0,4.80191,0.0375086,0.180505,0.00426195,0,3.29023,0.00237139,106236,106456,0,243,0
1421,1,22,17.0596,10.1379,4.81202,0.576759,2,15.6461,,0,5.13909,0.0465493,0.179311,0.00420907,0,3.91263,0.00180663,106236,106456,0,243,0
1521,1,0,11.9418,10.4987,5.38069,0.751774,1,24.4864,,0,5.47909,0.000429342,0.156833,0.00377245,0,3.26027,0.00203803,106236,106456,0,243,0
1621,1,1,8.65923,10.1308,5.8557,0.655712,1,19.0547,,0,1.0795,0.0720616,0.144935,0.00445951,0,3.60681,0.00183271,106236,106456,0,243,0
1721,1,14,10.2615,10.1569,6.28582,0.657022,0,15.3165,,0,0.356043,5.69627,0.1169,0.00439307,0,3.32399,0.00165787,106236,106456,0,243,0
1821,1,0,7.18302,9.56215,6.61345,0.682308,1,26.1348,,0,0.406758,0.0656735,0.124738,0.00385974,0,3.51205,0.00210597,106236,106456,0,243,0
1921,1,0,5.02811,8.65534,6.81764,0.671597,0,24.126,,0,6.30705,0.000757164,0.106553,0.00409884,0,3.61673,0.00165838,106236,106456,0,243,0
2021,1,0,3.51968,7.62821,6.8987,0.723047,0,28.2419,,0,5.69588,0.0720646,0.097618,0.0041686,0,3.69927,0.00158571,106236,106456,0,243,0
2121,1,0,2.46378,6.59532,6.86836,0.650991,2,26.3262,,0,0.461493,0.257328,0.181856,0.00402301,0,3.54327,0.00175362,106236,106456,0,243,0
2221,1,0,1.72464,5.62119,6.74364,0.600334,1,24.502,,0,0.00532066,0.277251,0.117625,0.00391382,0,3.48097,0.00178981,106236,106456,0,243,0
2321,1,2,1.80725,4.8584,6.55512,0.668217,0,16.658,,0,3.72156,1.05177,0.117356,0.00412709,0,4.0875,0.0019301,106236,106456,0,243,0
2421,1,2,1.86508,4.25974,6.32558,0.556828,0,24.5805,,0,0.371033,1.15658,0.12267,0.00432075,0,3.60448,0.0018381,106236,106456,0,243,0
2521,1,0,1.30555,3.6689,6.05991,0.570358,0,19.7898,,0,10.1808,0.0133345,0.0897277,0.00365335,0,3.18249,0.00193854,106236,106456,0,243,0
2621,1,2,1.51389,3.2379,5.77771,0.57663,2,22.0702,,0,8.00938,0.000153736,0.147849,0.00453878,0,3.75412,0.00185599,106236,106456,0,243,0
2721,1,1,1.35972,2.86226,5.48617,0.595207,1,20.3147,,0,2.27425,1.77246e-006,0.12093,0.00375598,0,3.6042,0.00167136,106236,106456,0,243,0
2821,1,1,1.2518,2.54017,5.19157,0.578217,0,18.6334,,0,11.5312,2.0435e-008,0.102997,0.00430347,0,3.81069,0.00183215,106236,106456,0,243,0
2921,1,0,0.876263,2.20739,4.89315,0.610977,1,24.1624,,0,0.754509,2.356e-010,0.129812,0.00411714,0,3.2928,0.00165874,106236,106456,0,243,0
3021,1,2,1.21338,2.00859,4.60469,0.558992,0,15.8973,,0,13.4865,0.0504403,0.101951,0.00417829,0,3.8037,0.00190256,106236,106456,0,243,0
3121,1,0,0.849369,1.77674,4.3219,0.632187,0,17.456,,0,12.4299,0.000581538,0.085067,0.00398528,0,3.42176,0.00194769,106236,106456,0,243,0
3221,1,0,0.594558,1.54031,4.04374,0.575981,1,28.5895,,0,1.49726,6.70467e-006,0.12815,0.00358715,0,3.41422,0.00167342,106236,106456,0,243,0
3321,1,2,1.01619,1.43548,3.78291,0.760494,1,17.5592,,0,10.3283,0.11259,0.122515,0.00416432,0,3.33324,0.00173433,106236,106456,0,243,0
3421,1,5,2.21133,1.59065,3.56369,0.986866,1,18.913,,0,8.79505,0.00129808,0.134824,0.00413363,0,3.64086,0.00153091,106236,106456,0,243,0
3521,1,2,2.14793,1.70211,3.37753,0.889715,0,15.8688,,0,2.16832,1.49658e-005,0.106883,0.00450896,0,3.69711,0.00175922,106236,106456,0,243,0
3621,1,0,1.50355,1.6624,3.20602,0.937597,0,17.7917,,0,1.4586,1.72544e-007,0.0964356,0.00474043,0,3.53263,0.00166946,106236,106456,0,243,0
3721,1,0,1.05249,1.54042,3.03945,1.11645,2,15.8683,,0,0.0571688,2.5072,0.143713,0.00366452,0,3.59772,0.00159184,106236,106456,0,243,0
3821,1,0,0.736741,1.37968,2.87348,0.814034,1,15.6737,,0,0.0682131,0.404716,0.127604,0.0041692,0,3.18324,0.00153765,106236,106456,0,243,0
3921,1,0,0.515719,1.20689,2.70682,1.04614,2,15.8662,,0,0.888721,0.0834791,0.140292,0.0041256,0,3.51555,0.00155494,106236,106456,0,243,0
4021,1,0,0.361003,1.03771,2.53991,0.918295,0,15.6172,,0,3.0506,0.000962448,0.116438,0.00408787,0,3.58889,0.00179652,106236,106456,0,243,0
4121,1,0,0.252702,0.88071,2.37399,0.634102,2,15.8432,,0,4.80158,0.164938,0.087207,0.00361669,0,3.46375,0.00187066,106236,106456,0,243,0
4221,1,1,0.476892,0.799946,2.21658,0.711487,2,14.5163,,0,11.0753,0.0807146,0.126265,0.00409573,0,3.66506,0.00163797,106236,106456,0,243,0
4321,1,2,0.933824,0.826722,2.0776,0.749508,1,15.7086,,0,2.32091,0.000930577,0.144366,0.00444841,0,3.60729,0.00167233,106236,106456,0,243,0
4421,1,0,0.653677,0.792113,1.94905,1.17282,1,15.6916,,0,0.139348,3.2728,0.119697,0.00409339,0,3.38402,0.00158154,106236,106456,0,243,0
4521,1,0,0.457574,0.725205,1.82666,0.674068,1,15.6745,,0,2.88152,0.354392,0.141035,0.00440442,0,3.38692,0.00183661,106236,106456,0,243,0
