time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_turf_thread_time,air_equalize_cost,air_post_process_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_heat_spread_cost,air_pipenets_cost,air_rebuilds_cost,air_amt_gas_mixes,air_alloc_gas_mixes,air_hotspot_count,air_network_count,air_delta_count
169,1,0,0,0,0,0.356781,149,0,,0,0,0,0,0,0,0,0,102144,102654,0,188,0
269,1,6,1.8,0.36,0.036,0.247088,0,0,,0,0,0,0,0,0,0,0,102144,102654,0,188,0
369,1,22,7.86,1.86,0.2184,0.249087,0,0,,0,0,0,0,0,0,0,0,102144,102654,0,188,0
469,1,12,9.102,3.3084,0.5274,0.222637,0,0,,0,0,0,0,0,0,0,0,102144,102654,0,188,0
569,1,23,13.2714,5.301,1.00476,0.233362,0,0,,0,0,0,0,0,0,0,0,102144,102654,0,188,0
669,1,10,12.29,6.6988,1.57416,0.19295,0,0,,0,0,0,0,0,0,0,0,102144,102654,0,188,0
769,1,11,11.903,7.73963,2.19071,0.275524,0,0,,0,0,0,0,0,0,0,0,102144,102654,0,188,0
869,1,3,9.23209,8.03813,2.77545,0.254924,0,0,,0,0,0,0,0,0,0,0,102144,102654,0,188,0
969,1,28,14.8625,9.40299,3.43821,0.256799,0,0,,0,0,0,0,0,0,0,0,102144,102654,0,188,0
