time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_turf_thread_time,air_equalize_cost,air_post_process_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_heat_spread_cost,air_pipenets_cost,air_rebuilds_cost,air_amt_gas_mixes,air_alloc_gas_mixes,air_hotspot_count,air_network_count,air_delta_count
162,1,0,0,0,0,0.382385,169,0,,0,0,0,0,0,0,0,0,101721,102654,0,186,0
262,1,6,1.8,0.36,0.036,0.28013,0,0,,0,0,0,0,0,0,0,0,101721,102654,0,186,0
362,1,3,2.16,0.72,0.1044,0.337518,0,0,,0,0,0,0,0,0,0,0,101721,102654,0,186,0
462,1,19,7.212,2.0184,0.2958,0.255494,0,0,,0,0,0,0,0,0,0,0,101721,102654,0,186,0
562,1,14,9.2484,3.4644,0.61266,0.27647,0,0,,0,0,0,0,0,0,0,0,101721,102654,0,186,0
662,1,4,7.67388,4.3063,0.982024,0.239582,0,0,,0,0,0,0,0,0,0,0,101721,102654,0,186,0
762,1,3,6.27172,4.69938,1.35376,0.232232,0,0,,0,0,0,0,0,0,0,0,101721,102654,0,186,0
862,1,2,4.9902,4.75754,1.69414,0.253995,0,0,,0,0,0,0,0,0,0,0,101721,102654,0,186,0
962,1,3,4.39314,4.68466,1.99319,0.242945,0,0,,0,0,0,0,0,0,0,0,101721,102654,0,186,0
1062,1,2,3.6752,4.48277,2.24215,0.229983,0,0,,0,0,0,0,0,0,0,0,101721,102654,0,186,0
