time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_turf_thread_time,air_equalize_cost,air_post_process_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_heat_spread_cost,air_pipenets_cost,air_rebuilds_cost,air_amt_gas_mixes,air_alloc_gas_mixes,air_hotspot_count,air_network_count,air_delta_count
314.5,0,0,0,0,0,0.120605,233,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
414.5,0,3,0.9,0.18,0.018,0.033525,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
514.5,0,0,0.63,0.27,0.0432,0.0315759,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
614.5,0,0,0.441,0.3042,0.0693,0.0301635,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
715,0,0.497512,0.457954,0.334951,0.0958651,0.0342149,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
815,1,66,20.1206,4.29207,0.515486,0.345979,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
915,1,14,18.2844,7.09054,1.17299,0.450957,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
1015,1,48,27.1991,11.1122,2.16692,0.368842,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
1115,1,3,19.9394,12.8777,3.23799,0.361567,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
1215,1,11,17.2575,13.7536,4.28956,0.35981,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
1315,1,0,12.0803,13.419,5.2025,0.357709,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
1415,1,0,8.4562,12.4264,5.92489,0.325709,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
1515,1,0,5.91934,11.125,6.4449,0.31436,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
1615,1,2,4.74354,9.84871,6.78528,0.397223,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
1715,1,0,3.32048,8.54306,6.96106,0.40536,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
1815,1,3,3.22433,7.47932,7.01289,0.38297,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
1915,1,0,2.25703,6.43486,6.95508,0.433107,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
2015,1,2,2.17992,5.58387,6.81796,0.362056,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
2115,1,6,3.32595,5.13229,6.64939,0.39388,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
2215,1,2,2.92816,4.69146,6.4536,0.336268,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
2315,1,35,12.5497,6.26311,6.43455,0.367519,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
2415,1,10,11.7848,7.36745,6.52784,0.356756,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
2515,1,8,10.6494,8.02383,6.67744,0.402244,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
2615,1,11,10.7546,8.56998,6.86669,0.301681,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
2715,1,7,9.62819,8.78162,7.05819,0.437908,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
2815,1,13,10.6397,9.15324,7.26769,0.361982,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
2915,1,3,8.34781,8.99215,7.44014,0.372169,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
3015,1,6,7.64347,8.72242,7.56837,0.321443,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
3115,1,275,87.8504,24.548,9.26633,0.308392,0,0,,0,0,0,0,0,0,0,0,103624,104555,0,222,0
